source_path,model_family,format,size_bytes,sha256,training_script,preprocessing_scaler_dependency,input_feature_order,output_unit,benchmark_reference,reproducibility_status,archive_destination,safe_to_remove_from_active_tree
"src/lib/prediction/rule-based-model.ts","Rule-based","TypeScript",1159,"e7ce5ddc292a8f5f7a4b801a85aa041471b20421bab78a2f46f65d090cf20b8c","ML/scripts/08_train_rule_based.py","none; historical-entry calculations supplied by feature-builder","historical usage entries ordered chronologically","kWh then IDR via tariff","ML scripts/11_compare_models.py and compare_models.py","implementation reproducible; benchmark inputs are not tracked","src/lib/prediction/rule-based-model.ts","true after verified archive"
"ML/outputs_umkm/ridge_model_export.json","Ridge Regression","JSON model export",1412,"e2416ba03144094df87d94f269eb60fbec92b68f4441e95342c7a47aa3e615a9","ML/scripts/09_train_ridge.py; ML/scripts/15_export_ridge_model_to_json.py","scaler_mean and scaler_scale are null in this export","business_type_encoded|month|latest_usage_kwh|previous_usage_kwh|avg_3_month_usage_kwh|avg_6_month_usage_kwh|trend_1_month|trend_3_month|month_sin|month_cos|avg_tariff_idr_per_kwh","next_month_usage_kwh; cost derived as IDR","ML/outputs_model_benchmark/model_benchmark_summary.json","inference export preserved; training data and ridge_model.pkl are not tracked so training is not fully reproducible","ML/outputs_umkm/ridge_model_export.json","true after verified archive"
"src/lib/prediction/ridge-umkm-model.ts","Ridge Regression","TypeScript inference implementation",4865,"615edbeefaa42670f8abbff1b6927f00a82e607d34719c18ba44adb0b7d7dd19","ML/scripts/15_export_ridge_model_to_json.py","coefficients/intercept embedded; source export reports no StandardScaler","business_type_encoded|month|latest_usage_kwh|previous_usage_kwh|avg_3_month_usage_kwh|avg_6_month_usage_kwh|trend_1_month|trend_3_month|month_sin|month_cos|avg_tariff_idr_per_kwh","next_month_usage_kwh","scripts/test-adaptive-routing.ts","inference implementation preserved; source pickle and training splits are not tracked","src/lib/prediction/ridge-umkm-model.ts","true after verified archive"
"ML/outputs_umkm/model_metadata.json","Gradient Boosting Regression","JSON metadata and business-type encoder",1564,"e0a11fd35cf7cd7d85fd5da26bb94ed553ce6c69298f4b9f5a94c009055c3565","ML/scripts/10_train_gradient_boosting.py","business-type encoding embedded; no numerical scaler required","business_type_encoded|month|latest_usage_kwh|previous_usage_kwh|avg_3_month_usage_kwh|avg_6_month_usage_kwh|trend_1_month|trend_3_month|month_sin|month_cos|avg_tariff_idr_per_kwh","next_month_usage_kwh; cost derived as IDR","ML/outputs_model_benchmark/gb_parity_samples.json","metadata preserved; best_model.pkl and training splits are not tracked","ML/outputs_umkm/model_metadata.json","true after verified archive"
"src/lib/prediction/tabular-umkm-model.ts","Gradient Boosting Regression","generated TypeScript tree ensemble",238264,"8c0575d00c1e98c356227925afebc98678f2ea9e7f67d7f9afc9a87b99ba6424","ML/scripts/10_train_gradient_boosting.py; ML/scripts/20_export_gb_model_to_json.py","business-type encoder and tree thresholds embedded; no scaler","business_type_encoded|month|latest_usage_kwh|previous_usage_kwh|avg_3_month_usage_kwh|avg_6_month_usage_kwh|trend_1_month|trend_3_month|month_sin|month_cos|avg_tariff_idr_per_kwh","next_month_usage_kwh","ML/outputs_model_benchmark/gb_parity_samples.json; scripts/test-tabular-parity.ts","inference implementation and parity fixture preserved; training cannot be fully reproduced from tracked files","src/lib/prediction/tabular-umkm-model.ts","true after verified archive"
"ML/outputs_model_benchmark/gb_parity_samples.json","Gradient Boosting Regression","JSON parity fixture",9690,"3bc22f4d602b421f685bcb28b7b3a6fff20d8c9753dc6693cde7cf7e46f01c1f","ML/scripts/20_export_gb_model_to_json.py","uses feature order from generated TypeScript implementation","business_type_encoded|month|latest_usage_kwh|previous_usage_kwh|avg_3_month_usage_kwh|avg_6_month_usage_kwh|trend_1_month|trend_3_month|month_sin|month_cos|avg_tariff_idr_per_kwh","next_month_usage_kwh","scripts/test-tabular-parity.ts","parity verification reproducible with archived TypeScript and fixture","ML/outputs_model_benchmark/gb_parity_samples.json","true after verified archive"
"ML/outputs_lstm/lstm_model.keras","LSTM","Keras model",103962,"4964d32b176b156dfc16c8b55ea0f9609c551f090d56059414c6c83bc0eb6d42","ML/scripts/16_train_lstm_umkm.py","requires feature_scaler.pkl and target_scaler.pkl for original pipeline; standalone files are not tracked","latest_usage_kwh|previous_usage_kwh|avg_3_month_usage_kwh|avg_6_month_usage_kwh|trend_1_month|trend_3_month|month_sin|month_cos|business_type_encoded|avg_tariff_idr_per_kwh; sequence length 6","next_month_usage_kwh","ML/outputs_lstm/lstm_model_metadata.json","model binary preserved; original training data and standalone scaler pickles are not tracked","ML/outputs_lstm/lstm_model.keras","true after verified archive"
"ML/outputs_lstm/lstm_model_export.json","LSTM","JSON weights plus embedded scalers",198060,"dbecc59a39b238630691484127ea0f40db80f547a66c30350bd34c8ff7e0f601","ML/scripts/18_export_lstm_to_json.py","input and target StandardScaler mean/scale embedded in export","latest_usage_kwh|previous_usage_kwh|avg_3_month_usage_kwh|avg_6_month_usage_kwh|trend_1_month|trend_3_month|month_sin|month_cos|business_type_encoded|avg_tariff_idr_per_kwh; sequence length 6","next_month_usage_kwh","ML/outputs_lstm/lstm_baseline_predictions.json; scripts/test-lstm-ts-inference.ts","archived inference is self-contained; model retraining is not fully reproducible without untracked datasets","ML/outputs_lstm/lstm_model_export.json","true after verified archive"
"src/lib/prediction/lstm-umkm-model.ts","LSTM","TypeScript inference implementation",14113,"c4e1ccd3a8a654842dabc6c0e6df3972e869f82d49a0f6ca3f8d4370e22521e1","ML/scripts/18_export_lstm_to_json.py","imports archived JSON export with embedded input/target scalers","latest_usage_kwh|previous_usage_kwh|avg_3_month_usage_kwh|avg_6_month_usage_kwh|trend_1_month|trend_3_month|month_sin|month_cos|business_type_encoded|avg_tariff_idr_per_kwh; sequence length 6","next_month_usage_kwh","ML/outputs_lstm/lstm_baseline_predictions.json; scripts/test-lstm-ts-inference.ts","inference and parity path preserved; retraining is not fully reproducible","src/lib/prediction/lstm-umkm-model.ts","true after verified archive"
"ML/outputs_lstm/lstm_model_metadata.json","LSTM","JSON metadata",1436,"edf65b4df2ea9d5f890d2239a26ef4c3724f28caf9ecd49ca2fdd4dc863324cb","ML/scripts/16_train_lstm_umkm.py","documents StandardScaler-dependent training pipeline","latest_usage_kwh|previous_usage_kwh|avg_3_month_usage_kwh|avg_6_month_usage_kwh|trend_1_month|trend_3_month|month_sin|month_cos|business_type_encoded|avg_tariff_idr_per_kwh; sequence length 6","next_month_usage_kwh","metrics_test embedded in this file","metadata reproducible only as an audit record; benchmark summary does not prove retraining reproducibility","ML/outputs_lstm/lstm_model_metadata.json","true after verified archive"
"ML/outputs_lstm/lstm_baseline_predictions.json","LSTM","JSON parity fixture",61466,"9c547fe2052566f85df9d7b2774c9034ad11dc2954ab0efa2d3ff35d329214c7","ML/scripts/19_generate_lstm_baseline_predictions.py","uses Keras model plus feature/target scalers","feature order recorded with fixture and LSTM export","next_month_usage_kwh","scripts/test-lstm-ts-inference.ts","parity fixture preserved; regeneration requires standalone scaler pickles and test split not tracked","ML/outputs_lstm/lstm_baseline_predictions.json","true after verified archive"
"ML/outputs_lstm/leakage_validation_report.md","LSTM","Markdown audit report",4847,"0cbac02885ec5a47dbb6cbeb7627565a5bb64640cb485d6e1edc2b83594f0180","ML/scripts/17_audit_leakage.py","audits train-only StandardScaler fitting","10 LSTM features documented in report and metadata","next_month_usage_kwh","self-contained leakage report","audit evidence preserved; it does not establish end-to-end reproducibility","ML/outputs_lstm/leakage_validation_report.md","true after verified archive"
"ML/outputs_model_benchmark/model_benchmark_summary.json","Random Forest|XGBoost|LightGBM|CatBoost|Ridge|Gradient Boosting","JSON benchmark summary",340,"7198833a3fe3ae5ffb97da11172859a431b217b621f0f83496e93ddb798e2f11","ML/scripts/18_benchmark_advanced_models_umkm.py","model-specific preprocessing exists only in archived script; no standalone scalers tracked for these advanced models","feature order defined in benchmark script","next_month_usage_kwh","this summary; ML/outputs_model_benchmark/skipped_models.json","benchmark result preserved; advanced model binaries detailed metrics and training splits are not tracked so future integration is not ready","ML/outputs_model_benchmark/model_benchmark_summary.json","true after verified archive"
"ML/outputs_model_benchmark/skipped_models.json","Random Forest|XGBoost|LightGBM|CatBoost","JSON skipped-model record",2,"44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","ML/scripts/18_benchmark_advanced_models_umkm.py","not applicable","not applicable","not applicable","ML/outputs_model_benchmark/model_benchmark_summary.json","empty record preserved; does not prove model availability or reproducibility","ML/outputs_model_benchmark/skipped_models.json","true after verified archive"
