dataset_id,decision,entity_basis,months_basis,history_0_profile_eligible,history_0_profile_status,history_0_profile_basis,history_1,history_2,phase_initial_examples,phase_initial_status,history_3,history_4,history_5,phase_middle_examples,history_6_to_12,phase_advanced_examples,history_13_plus,phase_long_examples,total_examples,count_status,count_basis
goiener,PRIMARY,12149,12,UNKNOWN,UNKNOWN,"metadata.csv contains contracted_tariff; p1-p6 contracted power; province; municipality; zip_code; and CNAE for each series, but non-null coverage and availability before each entity's first target month are unverified",12149,12149,24298,PARTIAL_NUMERIC_SUBTOTAL_HISTORY_0_UNKNOWN,12149,12149,12149,36447,12149 each for h6-h11; h12 unknown,72894,UNKNOWN,UNKNOWN,133639,PUBLISHER_REPORTED_LOWER_BOUND_EXCLUDING_UNKNOWN_HISTORY_0,imp-pre contains 12149 series each with at least 12 months; longer histories and other periods add examples but require a full audit; history-0 is separately gated by pre-target profile eligibility
bdg2,PRIMARY,1578,24,1578,PUBLISHER_REPORTED_ALL_ENTITIES,building_id; site_id; floor area in sqft/sqm; and timezone exist for every building and are static pre-target attributes; richer fields are incomplete,1578,1578,4734,ESTIMATED_UPPER_BOUND,1578,1578,1578,4734,1578 each for h6-h12,11046,1578 each for 11 origins,17358,37872,ESTIMATED_UPPER_BOUND,1578 electricity buildings times the full 24-month publication window; usable-month gaps require validation; history-0 is separately gated by pre-target profile eligibility
london_smart_meter,PRIMARY,5567,28,5567,PUBLISHER_REPORTED_ALL_ENTITIES,"the official London Datastore blog says the ACORN group of each household is included; tariff assignment covers all households, though dToU prices apply only to about 1100 customers in 2013",5567,5567,16701,ESTIMATED_UPPER_BOUND,5567,5567,5567,16701,5567 each for h6-h12,38969,5567 each for 15 origins,83505,155876,ESTIMATED_UPPER_BOUND,all households times Nov 2011-Feb 2014; enrollment and missingness make this a ceiling; history-0 is separately gated by pre-target profile eligibility
heapo,PRIMARY,1408,65,UNKNOWN,PUBLISHER_REPORTED_SUBSET_TIME_UNKNOWN,"1358 of 1408 households submitted some voluntary metadata including residents; living area; heat-pump and heat-distribution attributes, but submission time relative to each first target is unpublished",1408,1408,2816,PARTIAL_NUMERIC_SUBTOTAL_HISTORY_0_UNKNOWN,1408,1408,1408,4224,1408 each for h6-h12,9856,1408 each for 52 origins,73216,90112,ESTIMATED_UPPER_BOUND_EXCLUDING_UNKNOWN_HISTORY_0,all households times Nov 2018-Mar 2024; per-household availability varies and exact publisher monthly files must be audited; history-0 is separately gated by pre-target profile eligibility
uci_eld,PRIMARY,370,48,0,VERIFIED_NO_PROFILE_METADATA,the canonical UCI source provides client columns and load only; no personalized profile metadata exists,370,370,740,ESTIMATED_UPPER_BOUND,370,370,370,1110,370 each for h6-h12,2590,370 each for 35 origins,12950,17390,ESTIMATED_UPPER_BOUND,all clients times Jan 2011-Dec 2014; pre-connection padded zeros must be removed and reduce counts; history-0 is separately gated by pre-target profile eligibility
refit,PRIMARY,20,21,UNKNOWN,UNKNOWN_PRETARGET_JOIN,"the official archive lists MetaData_Tables.xlsx and aggregate plus nine appliance channels for 20 houses, but per-house non-null joins and pre-target availability are unverified",20,20,40,PARTIAL_NUMERIC_SUBTOTAL_HISTORY_0_UNKNOWN,20,20,20,60,20 each for h6-h12,140,20 each for 8 origins,160,400,ESTIMATED_UPPER_BOUND_EXCLUDING_UNKNOWN_HISTORY_0,20 homes times Oct 2013-Jun 2015; source reports 88 percent average uptime and exact usable months need audit; history-0 is separately gated by pre-target profile eligibility
ideal,RESERVE,255,23,UNKNOWN,UNKNOWN_PRETARGET_JOIN,"rich survey; building; occupant; appliance; and working-pattern metadata exists, but entity coverage and collection time relative to each first target are unverified",255,255,510,PARTIAL_NUMERIC_SUBTOTAL_HISTORY_0_UNKNOWN,255,255,255,765,255 each for h6-h12,1785,255 each for 10 origins,2550,5610,ESTIMATED_UPPER_BOUND_EXCLUDING_UNKNOWN_HISTORY_0,study window ceiling; actual participation is 55-673 days with mean 286 and median 267 days; history-0 is separately gated by pre-target profile eligibility
ausgrid_solar,RESERVE,300,36,UNKNOWN,UNKNOWN_PRETARGET_JOIN,"customer; channel; row-quality; and domestic-tariff categories are described, but exact per-customer pre-target profile availability is unverified",300,300,600,PARTIAL_NUMERIC_SUBTOTAL_HISTORY_0_UNKNOWN,300,300,300,900,300 each for h6-h12,2100,300 each for 23 origins,6900,10500,ESTIMATED_UPPER_BOUND_EXCLUDING_UNKNOWN_HISTORY_0,300 customers times Jul 2010-Jun 2013; later-year completeness must be checked; history-0 is separately gated by pre-target profile eligibility
iblend,RESERVE,7,52,7,PUBLISHER_REPORTED_ALL_ENTITIES,building use; architecture; and campus identity are static documented attributes for all seven buildings; occupancy and weather cover time subsets,7,7,21,ESTIMATED_UPPER_BOUND,7,7,7,21,7 each for h6-h12,49,7 each for 39 origins,273,364,ESTIMATED_UPPER_BOUND,seven buildings times the 52-month window; source-documented gaps reduce usable runs; history-0 is separately gated by pre-target profile eligibility
uci_ihepc,REJECTED,1,47,0,VERIFIED_NO_PROFILE_METADATA,the UCI record has electrical quantities and three submeter groups for one anonymous household but no personalized profile attributes,1,1,2,ESTIMATED_UPPER_BOUND,1,1,1,3,1 each for h6-h12,7,1 each for 34 origins,34,46,ESTIMATED_UPPER_BOUND,single household across 47 months; 1.25 percent raw missingness; history-0 is separately gated by pre-target profile eligibility
uk_dale,RESERVE,5,54,UNKNOWN,UNKNOWN_PRETARGET_JOIN,"appliance labels and limited house metadata exist, but entity coverage and pre-target availability are unverified",5,5,10,PARTIAL_NUMERIC_SUBTOTAL_HISTORY_0_UNKNOWN,5,5,5,15,5 each for h6-h12,35,5 each for 41 origins,205,265,ESTIMATED_UPPER_BOUND_EXCLUDING_UNKNOWN_HISTORY_0,five homes times the global 2012-2017 window; individual homes have very different durations so this ceiling is loose; history-0 is separately gated by pre-target profile eligibility
cer_ireland,RESTRICTED,5000,18,UNKNOWN,RESTRICTED_METADATA_ONLY,"premises; customer type; tariff/trial group; demographic; and equipment survey fields are described, but no restricted files were accessed",5000,5000,10000,PARTIAL_NUMERIC_SUBTOTAL_HISTORY_0_UNKNOWN,5000,5000,5000,15000,5000 each for h6-h12,35000,5000 each for 5 origins,25000,85000,ESTIMATED_UPPER_BOUND_EXCLUDING_UNKNOWN_HISTORY_0,more than 5000 homes and businesses over 2009-2010; inaccessible without approval and exact counts are not inspected; history-0 is separately gated by pre-target profile eligibility
pecan_street,RESTRICTED,75,UNKNOWN,UNKNOWN,RESTRICTED_METADATA_ONLY,"rich home; building; and device metadata is advertised, but pre-target joins and commercial rights were inaccessible without an account",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,free university tier reports 75 homes but duration and usable runs were not accessible without an account; history-0 is separately gated by pre-target profile eligibility
fik_electricity,REJECTED,3,1,3,PUBLISHER_REPORTED_ALL_ENTITIES,restaurant-kitchen identity and the 45-appliance inventory are known for all three entities before the sole target month; duration still fails the primary gate,0,0,3,PUBLISHER_REPORTED,0,0,0,0,0,0,0,0,3,PUBLISHER_REPORTED,three kitchens monitored for three to four weeks; cannot create three usable calendar months; history-0 is separately gated by pre-target profile eligibility
need,REJECTED,4000000,0,0,NOT_APPLICABLE_NO_MONTHLY_TARGET,property profiles exist but annual consumption cannot supply a truthful monthly target,0,0,0,NOT_APPLICABLE,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE,annual consumption only; monthly kWh and phase examples cannot be derived; history-0 is separately gated by pre-target profile eligibility
