dataset_id,dataset_source,entity_id,period_month,usage_kwh,entity_type,business_type,building_type,tariff_per_kwh,country,region,floor_area,occupancy,appliance_category,operating_hours,temperature_mean,temperature_min,temperature_max,humidity_mean,source_timezone,source_granularity,original_measurement_semantics,original_unit,conversion_formula,dst_policy,missing_interval_policy,quality_notes
goiener,constant goiener,anonymized CUPS SHA-2 filename,derive from processed timestamp,sum hourly kWh,supply_point,CNAE code,null,null,Spain,province/large municipality,null,null,null,null,null,null,null,null,published fixed Spanish local time without DST,hourly,interval energy,kWh,monthly_kwh = sum(kWh) after fold-safe missing policy,preserve publisher fixed-local-time convention and imputed flag,prefer raw series; exclude target months with imputation; do not let LOCF cross a forecast origin,tariff class/contracted power are metadata and must not be represented as a currency price; legal gate: no acquisition or production-intended training until the CC-BY-SA versus CC BY 4.0 conflict is resolved
bdg2,constant bdg2,electricity.csv building column,derive from local timestamp,sum hourly kWh,building,industry/subindustry,primaryspaceusage,null,source site country where released,site/city,sqm,occupants,null,derive only as documented schedule,null,null,null,null,metadata timezone,hourly,interval energy sum,kWh_sum,monthly_kwh = sum(hourly kWh_sum),use each site's IANA timezone and DST expected count,exclude low-coverage months; retain raw and cleaned quality variants separately,electricity only; never add steam/chilled water/gas; use v1.0 corrected unit files
london_smart_meter,constant london_smart_meter,LCLid/household identifier,derive from timestamp,sum half-hour kWh,household,null,ACORN group,join tariff schedule price by timestamp,United Kingdom,Greater London,null,null,null,null,optional independent weather join,null,null,null,verify publisher convention before build,30-minute,interval energy,kWh,monthly_kwh = sum(half_hour_kwh),audit 46/48/50 local intervals and documented timestamp convention,exclude Nulls; no target imputation; record coverage,do not multiply by 0.5 because the recorded value is already half-hour energy
heapo,constant heapo,Household_ID,use publisher monthly timestamp or UTC-to-local month,kWh_received_Total monthly delta,household,null,residential,null; OBIS tariff-specific fields excluded,Switzerland,Canton of Zurich,null,resident count,heat pump where separate meter,null,join publisher weather,join publisher weather,join publisher weather,join publisher weather,UTC,publisher monthly; daily cumulative; 15-minute,cumulative register and interval energy,kWh,preferred monthly = last cumulative register difference; reconcile with sum(15-minute kWh),stored UTC; define Europe/Zurich calendar month before benchmark,exclude publisher-removed zero/negative error blocks; cumulative endpoints may validate a month,sum separate HeatPump and Other only when Total is absent; never double count
uci_eld,constant uci_eld,client column label,derive from Portuguese timestamp,sum converted intervals,client,null,null,null,Portugal,null,null,null,null,null,null,null,null,null,Portuguese local time,15-minute,interval-average power,kW,interval_kwh = kW / 4; monthly_kwh = sum(interval_kwh),retain source spring zero hour and autumn aggregated hour; flag anomaly months,convert pre-connection zero padding to structural missing before phase runs,source has no client profile metadata
refit,constant refit,house file number,derive from timestamp,integrate Aggregate watts,household,null,residential,null,United Kingdom,Loughborough,null,null,IAM appliance label,null,null,null,null,null,verify file readme; expected UK local,8-second,interval-average active power,W,interval_kwh = W * elapsed_seconds / 3600000; nominal 8-second formula W*8/3600000,parse according to readme and audit UK DST,publisher forward-filled gaps below 2 minutes and zeroed longer gaps; flag rather than treat as observed,appliance channels support features/analysis; whole-house Aggregate is target
ideal,constant ideal,home_id,derive from UTC timestamp,integrate real-power OEM mains when available; apparent-power clamp only with documented method,household,null,home type,null,United Kingdom,coarse Edinburgh/Lothian/Fife area,sum room floor areas only if valid,number of residents,enhanced appliance sensor,working/occupancy schedule,join local weather,join local weather,join local weather,join local weather,UTC,1-second/5-second/event-driven/hourly summary,apparent or real power,W,real_power interval_kwh = W*elapsed_seconds/3600000; apparent W is not assumed equal to real W,UTC has no DST ambiguity,retain NaN gaps; exclude low coverage target months,reserve until real-vs-apparent target definition is validated
ausgrid_solar,constant ausgrid_solar,Customer,derive from date and half-hour columns,sum GC and intended load channels,household,null,solar home,tariff category only; no price,Australia,Ausgrid NSW,null,null,controlled load category,null,null,null,null,null,Australia/Sydney,30-minute,interval energy,kWh,monthly consumption = sum(GC kWh plus CL only if total-load definition includes it); keep GG generation separate,audit 46/48/50 half-hours around DST,Row Quality NA denotes estimates/substitutes and feeds imputed_ratio,gross generation must not be subtracted from consumption without a defined net-import target
iblend,constant iblend,building/meter file name,derive from Unix timestamp,integrate power watts,building,null,Academic/Lecture/Library/Facilities/Dining/Dormitory,null,India,Delhi,building architecture,WiFi-derived occupancy,null,institute schedule,join four-month weather,join four-month weather,join four-month weather,join four-month weather,Asia/Kolkata,1-minute,interval-average power,W,interval_kwh = W/60000 for one-minute intervals; use actual deltas across gaps,no DST,exclude days/months below coverage threshold; never integrate across long gaps,separate transformer and building meters to prevent hierarchy double counting
uci_ihepc,constant uci_ihepc,single fixed household,derive from local date/time,integrate Global_active_power,household,null,residential,null,France,Sceaux,null,null,3 submeter groups,null,null,null,null,null,Europe/Paris,1-minute,minute-average active power,kW,interval_kwh = kW/60; monthly_kwh=sum(interval_kwh),audit undocumented DST behavior,exclude or fold-safe-impute 1.25% missing readings,single entity fails primary gate
uk_dale,constant uk_dale,house directory,derive from Unix UTC timestamp,integrate whole-house active watts,household,null,residential,null,United Kingdom,null,null,null,channel label,null,null,null,null,null,UTC,1-second or 6-second,interval-average/instantaneous sampled active power,W,interval_kwh = W*elapsed_seconds/3600000,Unix UTC ignores DST transitions,use low-frequency gaps and coverage; do not download waveform collection,house durations differ and only five entities exist
cer_ireland,constant cer_ireland,restricted customer ID,derive from half-hour index,sum half-hour energy,household_or_SME,customer/premise type,premise type,tariff/trial group; price mapping if licensed docs allow,Ireland,null,null,survey occupants,survey equipment,null,null,null,null,null,Europe/Dublin,30-minute,interval energy,kWh assumed from trial documentation; verify after approved access,monthly_kwh=sum(interval_kwh),audit Irish DST after approved access,unknown without restricted access,mapping is a proposal only; no restricted file was accessed
pecan_street,constant pecan_street,restricted dataid,derive after licensed access,sum or integrate documented measure,household,null,residential,contract-specific,United States,testbed region,metadata field,metadata field,circuit label,null,weather where licensed,weather where licensed,weather where licensed,weather where licensed,site-specific,varies,varies,varies,must be defined per licensed table,site-specific,must be defined under data agreement,mapping is conceptual; no account or data was accessed
fik_electricity,constant fik_electricity,kitchen ID,derive from UTC timestamp,integrate aggregate active power,business,restaurant,industrial kitchen,null,Portugal,Madeira,null,null,45 appliance labels,observed service pattern,null,null,null,null,UTC,1-second aggregate; about 5-second appliance,interval-average power,W,interval_kwh=W*elapsed_seconds/3600000,publisher normalized WET/WEST to UTC,retain published gaps and coverage ratios,duration below one month prevents eligible phase rows
need,constant need,anonymized property identifier,null,null,property,null,residential,null,United Kingdom,England/Wales,profile field,profile field,null,null,null,null,null,null,UK annual,annual,annual billing consumption,kWh,NOT DERIVABLE: annual kWh must not be fabricated into months,not applicable,not applicable,profile augmentation only; cannot populate required period_month and usage_kwh
