model_key,track,reporting_phase,random_seed,status,failure_reason,ineligibility_reason,prediction_micro_count,eligible
catboost,seen_entity,H00,17,SKIPPED,,ZERO_HISTORY_WITHOUT_STATIC_PROFILE,1,False
catboost,seen_entity,H00,17,SUCCESS,,,5958,True
catboost,seen_entity,H00,29,SKIPPED,,ZERO_HISTORY_WITHOUT_STATIC_PROFILE,1,False
catboost,seen_entity,H00,29,SUCCESS,,,5958,True
catboost,seen_entity,H00,43,SKIPPED,,ZERO_HISTORY_WITHOUT_STATIC_PROFILE,1,False
catboost,seen_entity,H00,43,SUCCESS,,,5958,True
catboost,seen_entity,H01_02,17,SUCCESS,,,316,True
catboost,seen_entity,H01_02,29,SUCCESS,,,316,True
catboost,seen_entity,H01_02,43,SUCCESS,,,316,True
catboost,seen_entity,H03_05,17,SUCCESS,,,355,True
catboost,seen_entity,H03_05,29,SUCCESS,,,355,True
catboost,seen_entity,H03_05,43,SUCCESS,,,355,True
catboost,seen_entity,H06_12,17,SUCCESS,,,616,True
catboost,seen_entity,H06_12,29,SUCCESS,,,616,True
catboost,seen_entity,H06_12,43,SUCCESS,,,616,True
catboost,seen_entity,H13_PLUS,17,SUCCESS,,,7652,True
catboost,seen_entity,H13_PLUS,29,SUCCESS,,,7652,True
catboost,seen_entity,H13_PLUS,43,SUCCESS,,,7652,True
catboost,unseen_entity,H00,17,SKIPPED,,ZERO_HISTORY_WITHOUT_STATIC_PROFILE,1,False
catboost,unseen_entity,H00,17,SUCCESS,,,901,True
catboost,unseen_entity,H00,29,SKIPPED,,ZERO_HISTORY_WITHOUT_STATIC_PROFILE,1,False
catboost,unseen_entity,H00,29,SUCCESS,,,901,True
catboost,unseen_entity,H00,43,SKIPPED,,ZERO_HISTORY_WITHOUT_STATIC_PROFILE,1,False
catboost,unseen_entity,H00,43,SUCCESS,,,901,True
catboost,unseen_entity,H01_02,17,SUCCESS,,,57,True
catboost,unseen_entity,H01_02,29,SUCCESS,,,57,True
catboost,unseen_entity,H01_02,43,SUCCESS,,,57,True
catboost,unseen_entity,H03_05,17,SUCCESS,,,59,True
catboost,unseen_entity,H03_05,29,SUCCESS,,,59,True
catboost,unseen_entity,H03_05,43,SUCCESS,,,59,True
catboost,unseen_entity,H06_12,17,SUCCESS,,,81,True
catboost,unseen_entity,H06_12,29,SUCCESS,,,81,True
catboost,unseen_entity,H06_12,43,SUCCESS,,,81,True
catboost,unseen_entity,H13_PLUS,17,SUCCESS,,,1151,True
catboost,unseen_entity,H13_PLUS,29,SUCCESS,,,1151,True
catboost,unseen_entity,H13_PLUS,43,SUCCESS,,,1151,True
deepar,seen_entity,H00,17,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,5959,False
deepar,seen_entity,H00,29,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,5959,False
deepar,seen_entity,H00,43,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,5959,False
deepar,seen_entity,H01_02,17,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,316,False
deepar,seen_entity,H01_02,29,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,316,False
deepar,seen_entity,H01_02,43,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,316,False
deepar,seen_entity,H03_05,17,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,355,False
deepar,seen_entity,H03_05,29,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,355,False
deepar,seen_entity,H03_05,43,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,355,False
deepar,seen_entity,H06_12,17,SUCCESS,,,616,True
deepar,seen_entity,H06_12,29,SUCCESS,,,616,True
deepar,seen_entity,H06_12,43,SUCCESS,,,616,True
deepar,seen_entity,H13_PLUS,17,SUCCESS,,,7652,True
deepar,seen_entity,H13_PLUS,29,SUCCESS,,,7652,True
deepar,seen_entity,H13_PLUS,43,SUCCESS,,,7652,True
deepar,unseen_entity,H00,17,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,902,False
deepar,unseen_entity,H00,29,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,902,False
deepar,unseen_entity,H00,43,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,902,False
deepar,unseen_entity,H01_02,17,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,57,False
deepar,unseen_entity,H01_02,29,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,57,False
deepar,unseen_entity,H01_02,43,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,57,False
deepar,unseen_entity,H03_05,17,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,59,False
deepar,unseen_entity,H03_05,29,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,59,False
deepar,unseen_entity,H03_05,43,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,59,False
deepar,unseen_entity,H06_12,17,SUCCESS,,,81,True
deepar,unseen_entity,H06_12,29,SUCCESS,,,81,True
deepar,unseen_entity,H06_12,43,SUCCESS,,,81,True
deepar,unseen_entity,H13_PLUS,17,SUCCESS,,,1151,True
deepar,unseen_entity,H13_PLUS,29,SUCCESS,,,1151,True
deepar,unseen_entity,H13_PLUS,43,SUCCESS,,,1151,True
deterministic_baseline,seen_entity,H00,0,SKIPPED,,ZERO_HISTORY_NO_DETERMINISTIC_PATH,5959,False
deterministic_baseline,seen_entity,H01_02,0,SUCCESS,,,316,True
deterministic_baseline,seen_entity,H03_05,0,SUCCESS,,,355,True
deterministic_baseline,seen_entity,H06_12,0,SUCCESS,,,616,True
deterministic_baseline,seen_entity,H13_PLUS,0,SUCCESS,,,7652,True
deterministic_baseline,unseen_entity,H00,0,SKIPPED,,ZERO_HISTORY_NO_DETERMINISTIC_PATH,902,False
deterministic_baseline,unseen_entity,H01_02,0,SUCCESS,,,57,True
deterministic_baseline,unseen_entity,H03_05,0,SUCCESS,,,59,True
deterministic_baseline,unseen_entity,H06_12,0,SUCCESS,,,81,True
deterministic_baseline,unseen_entity,H13_PLUS,0,SUCCESS,,,1151,True
gradient_boosting,seen_entity,H00,17,SKIPPED,,ZERO_HISTORY_WITHOUT_STATIC_PROFILE,1,False
gradient_boosting,seen_entity,H00,17,SUCCESS,,,5958,True
gradient_boosting,seen_entity,H00,29,SKIPPED,,ZERO_HISTORY_WITHOUT_STATIC_PROFILE,1,False
gradient_boosting,seen_entity,H00,29,SUCCESS,,,5958,True
gradient_boosting,seen_entity,H00,43,SKIPPED,,ZERO_HISTORY_WITHOUT_STATIC_PROFILE,1,False
gradient_boosting,seen_entity,H00,43,SUCCESS,,,5958,True
gradient_boosting,seen_entity,H01_02,17,SUCCESS,,,316,True
gradient_boosting,seen_entity,H01_02,29,SUCCESS,,,316,True
gradient_boosting,seen_entity,H01_02,43,SUCCESS,,,316,True
gradient_boosting,seen_entity,H03_05,17,SUCCESS,,,355,True
gradient_boosting,seen_entity,H03_05,29,SUCCESS,,,355,True
gradient_boosting,seen_entity,H03_05,43,SUCCESS,,,355,True
gradient_boosting,seen_entity,H06_12,17,SUCCESS,,,616,True
gradient_boosting,seen_entity,H06_12,29,SUCCESS,,,616,True
gradient_boosting,seen_entity,H06_12,43,SUCCESS,,,616,True
gradient_boosting,seen_entity,H13_PLUS,17,SUCCESS,,,7652,True
gradient_boosting,seen_entity,H13_PLUS,29,SUCCESS,,,7652,True
gradient_boosting,seen_entity,H13_PLUS,43,SUCCESS,,,7652,True
gradient_boosting,unseen_entity,H00,17,SKIPPED,,ZERO_HISTORY_WITHOUT_STATIC_PROFILE,1,False
gradient_boosting,unseen_entity,H00,17,SUCCESS,,,901,True
gradient_boosting,unseen_entity,H00,29,SKIPPED,,ZERO_HISTORY_WITHOUT_STATIC_PROFILE,1,False
gradient_boosting,unseen_entity,H00,29,SUCCESS,,,901,True
gradient_boosting,unseen_entity,H00,43,SKIPPED,,ZERO_HISTORY_WITHOUT_STATIC_PROFILE,1,False
gradient_boosting,unseen_entity,H00,43,SUCCESS,,,901,True
gradient_boosting,unseen_entity,H01_02,17,SUCCESS,,,57,True
gradient_boosting,unseen_entity,H01_02,29,SUCCESS,,,57,True
gradient_boosting,unseen_entity,H01_02,43,SUCCESS,,,57,True
gradient_boosting,unseen_entity,H03_05,17,SUCCESS,,,59,True
gradient_boosting,unseen_entity,H03_05,29,SUCCESS,,,59,True
gradient_boosting,unseen_entity,H03_05,43,SUCCESS,,,59,True
gradient_boosting,unseen_entity,H06_12,17,SUCCESS,,,81,True
gradient_boosting,unseen_entity,H06_12,29,SUCCESS,,,81,True
gradient_boosting,unseen_entity,H06_12,43,SUCCESS,,,81,True
gradient_boosting,unseen_entity,H13_PLUS,17,SUCCESS,,,1151,True
gradient_boosting,unseen_entity,H13_PLUS,29,SUCCESS,,,1151,True
gradient_boosting,unseen_entity,H13_PLUS,43,SUCCESS,,,1151,True
lightgbm,seen_entity,H00,17,SKIPPED,,ZERO_HISTORY_WITHOUT_STATIC_PROFILE,1,False
lightgbm,seen_entity,H00,17,SUCCESS,,,5958,True
lightgbm,seen_entity,H00,29,SKIPPED,,ZERO_HISTORY_WITHOUT_STATIC_PROFILE,1,False
lightgbm,seen_entity,H00,29,SUCCESS,,,5958,True
lightgbm,seen_entity,H00,43,SKIPPED,,ZERO_HISTORY_WITHOUT_STATIC_PROFILE,1,False
lightgbm,seen_entity,H00,43,SUCCESS,,,5958,True
lightgbm,seen_entity,H01_02,17,SUCCESS,,,316,True
lightgbm,seen_entity,H01_02,29,SUCCESS,,,316,True
lightgbm,seen_entity,H01_02,43,SUCCESS,,,316,True
lightgbm,seen_entity,H03_05,17,SUCCESS,,,355,True
lightgbm,seen_entity,H03_05,29,SUCCESS,,,355,True
lightgbm,seen_entity,H03_05,43,SUCCESS,,,355,True
lightgbm,seen_entity,H06_12,17,SUCCESS,,,616,True
lightgbm,seen_entity,H06_12,29,SUCCESS,,,616,True
lightgbm,seen_entity,H06_12,43,SUCCESS,,,616,True
lightgbm,seen_entity,H13_PLUS,17,SUCCESS,,,7652,True
lightgbm,seen_entity,H13_PLUS,29,SUCCESS,,,7652,True
lightgbm,seen_entity,H13_PLUS,43,SUCCESS,,,7652,True
lightgbm,unseen_entity,H00,17,SKIPPED,,ZERO_HISTORY_WITHOUT_STATIC_PROFILE,1,False
lightgbm,unseen_entity,H00,17,SUCCESS,,,901,True
lightgbm,unseen_entity,H00,29,SKIPPED,,ZERO_HISTORY_WITHOUT_STATIC_PROFILE,1,False
lightgbm,unseen_entity,H00,29,SUCCESS,,,901,True
lightgbm,unseen_entity,H00,43,SKIPPED,,ZERO_HISTORY_WITHOUT_STATIC_PROFILE,1,False
lightgbm,unseen_entity,H00,43,SUCCESS,,,901,True
lightgbm,unseen_entity,H01_02,17,SUCCESS,,,57,True
lightgbm,unseen_entity,H01_02,29,SUCCESS,,,57,True
lightgbm,unseen_entity,H01_02,43,SUCCESS,,,57,True
lightgbm,unseen_entity,H03_05,17,SUCCESS,,,59,True
lightgbm,unseen_entity,H03_05,29,SUCCESS,,,59,True
lightgbm,unseen_entity,H03_05,43,SUCCESS,,,59,True
lightgbm,unseen_entity,H06_12,17,SUCCESS,,,81,True
lightgbm,unseen_entity,H06_12,29,SUCCESS,,,81,True
lightgbm,unseen_entity,H06_12,43,SUCCESS,,,81,True
lightgbm,unseen_entity,H13_PLUS,17,SUCCESS,,,1151,True
lightgbm,unseen_entity,H13_PLUS,29,SUCCESS,,,1151,True
lightgbm,unseen_entity,H13_PLUS,43,SUCCESS,,,1151,True
nbeats,seen_entity,H00,17,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,5959,False
nbeats,seen_entity,H00,29,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,5959,False
nbeats,seen_entity,H00,43,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,5959,False
nbeats,seen_entity,H01_02,17,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,316,False
nbeats,seen_entity,H01_02,29,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,316,False
nbeats,seen_entity,H01_02,43,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,316,False
nbeats,seen_entity,H03_05,17,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,355,False
nbeats,seen_entity,H03_05,29,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,355,False
nbeats,seen_entity,H03_05,43,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,355,False
nbeats,seen_entity,H06_12,17,SUCCESS,,,616,True
nbeats,seen_entity,H06_12,29,SUCCESS,,,616,True
nbeats,seen_entity,H06_12,43,SUCCESS,,,616,True
nbeats,seen_entity,H13_PLUS,17,SUCCESS,,,7652,True
nbeats,seen_entity,H13_PLUS,29,SUCCESS,,,7652,True
nbeats,seen_entity,H13_PLUS,43,SUCCESS,,,7652,True
nbeats,unseen_entity,H00,17,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,902,False
nbeats,unseen_entity,H00,29,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,902,False
nbeats,unseen_entity,H00,43,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,902,False
nbeats,unseen_entity,H01_02,17,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,57,False
nbeats,unseen_entity,H01_02,29,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,57,False
nbeats,unseen_entity,H01_02,43,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,57,False
nbeats,unseen_entity,H03_05,17,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,59,False
nbeats,unseen_entity,H03_05,29,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,59,False
nbeats,unseen_entity,H03_05,43,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,59,False
nbeats,unseen_entity,H06_12,17,SUCCESS,,,81,True
nbeats,unseen_entity,H06_12,29,SUCCESS,,,81,True
nbeats,unseen_entity,H06_12,43,SUCCESS,,,81,True
nbeats,unseen_entity,H13_PLUS,17,SUCCESS,,,1151,True
nbeats,unseen_entity,H13_PLUS,29,SUCCESS,,,1151,True
nbeats,unseen_entity,H13_PLUS,43,SUCCESS,,,1151,True
ridge,seen_entity,H00,17,SKIPPED,,ZERO_HISTORY_WITHOUT_STATIC_PROFILE,1,False
ridge,seen_entity,H00,17,SUCCESS,,,5958,True
ridge,seen_entity,H00,29,SKIPPED,,ZERO_HISTORY_WITHOUT_STATIC_PROFILE,1,False
ridge,seen_entity,H00,29,SUCCESS,,,5958,True
ridge,seen_entity,H00,43,SKIPPED,,ZERO_HISTORY_WITHOUT_STATIC_PROFILE,1,False
ridge,seen_entity,H00,43,SUCCESS,,,5958,True
ridge,seen_entity,H01_02,17,SUCCESS,,,316,True
ridge,seen_entity,H01_02,29,SUCCESS,,,316,True
ridge,seen_entity,H01_02,43,SUCCESS,,,316,True
ridge,seen_entity,H03_05,17,SUCCESS,,,355,True
ridge,seen_entity,H03_05,29,SUCCESS,,,355,True
ridge,seen_entity,H03_05,43,SUCCESS,,,355,True
ridge,seen_entity,H06_12,17,SUCCESS,,,616,True
ridge,seen_entity,H06_12,29,SUCCESS,,,616,True
ridge,seen_entity,H06_12,43,SUCCESS,,,616,True
ridge,seen_entity,H13_PLUS,17,SUCCESS,,,7652,True
ridge,seen_entity,H13_PLUS,29,SUCCESS,,,7652,True
ridge,seen_entity,H13_PLUS,43,SUCCESS,,,7652,True
ridge,unseen_entity,H00,17,SKIPPED,,ZERO_HISTORY_WITHOUT_STATIC_PROFILE,1,False
ridge,unseen_entity,H00,17,SUCCESS,,,901,True
ridge,unseen_entity,H00,29,SKIPPED,,ZERO_HISTORY_WITHOUT_STATIC_PROFILE,1,False
ridge,unseen_entity,H00,29,SUCCESS,,,901,True
ridge,unseen_entity,H00,43,SKIPPED,,ZERO_HISTORY_WITHOUT_STATIC_PROFILE,1,False
ridge,unseen_entity,H00,43,SUCCESS,,,901,True
ridge,unseen_entity,H01_02,17,SUCCESS,,,57,True
ridge,unseen_entity,H01_02,29,SUCCESS,,,57,True
ridge,unseen_entity,H01_02,43,SUCCESS,,,57,True
ridge,unseen_entity,H03_05,17,SUCCESS,,,59,True
ridge,unseen_entity,H03_05,29,SUCCESS,,,59,True
ridge,unseen_entity,H03_05,43,SUCCESS,,,59,True
ridge,unseen_entity,H06_12,17,SUCCESS,,,81,True
ridge,unseen_entity,H06_12,29,SUCCESS,,,81,True
ridge,unseen_entity,H06_12,43,SUCCESS,,,81,True
ridge,unseen_entity,H13_PLUS,17,SUCCESS,,,1151,True
ridge,unseen_entity,H13_PLUS,29,SUCCESS,,,1151,True
ridge,unseen_entity,H13_PLUS,43,SUCCESS,,,1151,True
